Price,NIFTY50,RELIANCE,TCS,HDFCBANK
Ticker,^NSEI,RELIANCE.NS,TCS.NS,HDFCBANK.NS
Date,,,,
2021-02-01,14281.2001953125,859.3883056640625,2759.73046875,699.3707885742188
2021-02-02,14647.849609375,873.2179565429688,2816.078857421875,739.0574951171875
2021-02-03,14789.9501953125,875.4171142578125,2813.090087890625,745.8060913085938
2021-02-04,14895.650390625,872.537841796875,2802.89306640625,747.842529296875
2021-02-05,14924.25,872.2883911132812,2776.0810546875,756.6038818359375
2021-02-08,15115.7998046875,884.848388671875,2825.441650390625,760.2268676757812
2021-02-09,15109.2998046875,886.9796142578125,2792.739013671875,763.3525390625
2021-02-10,15106.5,895.2093505859375,2824.738525390625,749.0975952148438
2021-02-11,15173.2998046875,932.11865234375,2818.3203125,744.645751953125
2021-02-12,15163.2998046875,925.7252807617188,2804.958740234375,749.1921997070312
2021-02-15,15314.7001953125,921.6443481445312,2760.169921875,765.60205078125
2021-02-16,15313.4501953125,933.8416748046875,2732.874755859375,770.3616333007812
2021-02-17,15208.900390625,944.6106567382812,2701.491943359375,751.3471069335938
2021-02-18,15118.9501953125,937.559814453125,2687.64599609375,736.0975341796875
2021-02-19,14981.75,943.2730102539062,2700.392578125,728.8989868164062
2021-02-22,14675.7001953125,910.5352783203125,2600.70556640625,733.1139526367188
2021-02-23,14707.7998046875,917.4954833984375,2619.824951171875,724.1868286132812
2021-02-24,14982.0,934.5219116210938,2591.60693359375,760.795166015625
2021-02-25,15097.349609375,972.3153076171875,2633.099609375,760.7714233398438
2021-02-26,14529.150390625,945.7669677734375,2544.31298828125,726.673095703125
2021-03-01,14761.5498046875,952.9765014648438,2570.596923828125,738.276123046875
2021-03-02,14919.099609375,954.9261474609375,2642.8134765625,742.680419921875
2021-03-03,15245.599609375,998.5009765625,2689.18408203125,751.5128173828125
2021-03-04,15080.75,986.598388671875,2680.921142578125,735.0320434570312
2021-03-05,14938.099609375,987.890625,2644.3076171875,724.5894165039062
2021-03-08,14956.2001953125,993.51318359375,2643.340087890625,719.61669921875
2021-03-09,15098.400390625,993.4905395507812,2682.020263671875,739.9810180664062
2021-03-10,15174.7998046875,989.3643188476562,2699.601318359375,736.7841796875
2021-03-12,15030.9501953125,969.2546997070312,2688.1728515625,734.984619140625
2021-03-15,14929.5,956.2411499023438,2695.38134765625,723.9500122070312
2021-03-16,14910.4501953125,952.477783203125,2733.9736328125,716.1358032226562
2021-03-17,14721.2998046875,931.9600219726562,2736.5224609375,708.1795043945312
2021-03-18,14557.849609375,910.98876953125,2669.31689453125,706.1194458007812
2021-03-19,14744.0,944.0438842773438,2681.36083984375,709.1978149414062
2021-03-22,14736.400390625,935.1566162109375,2751.203125,695.771484375
2021-03-23,14814.75,946.5377807617188,2762.587158203125,710.4527587890625
2021-03-24,14549.400390625,928.309814453125,2743.6875,700.3416748046875
2021-03-25,14324.900390625,902.9856567382812,2694.23876953125,693.024658203125
2021-03-26,14507.2998046875,904.4366455078125,2695.953125,706.2615356445312
2021-03-30,14845.099609375,920.1480102539062,2776.60888671875,735.8133544921875
2021-03-31,14690.7001953125,908.26806640625,2793.574462890625,707.3744506835938
2021-04-01,14867.349609375,916.7699584960938,2782.278564453125,704.106689453125
2021-04-05,14637.7998046875,903.5072021484375,2847.24267578125,686.5128784179688
2021-04-06,14683.5,899.7437133789062,2869.922119140625,682.0848388671875
2021-04-07,14819.0498046875,908.15478515625,2875.81201171875,685.3762817382812
2021-04-08,14873.7998046875,909.2883911132812,2916.20556640625,678.5567016601562
2021-04-09,14834.849609375,898.7234497070312,2920.513916015625,673.3234252929688
2021-04-12,14310.7998046875,866.5751342773438,2853.96728515625,647.418212890625
2021-04-13,14504.7998046875,875.9384765625,2728.69873046875,663.1886596679688
2021-04-15,14581.4501953125,881.6063842773438,2829.705078125,677.2779541015625
2021-04-16,14617.849609375,876.0745239257812,2808.783203125,676.59130859375
2021-04-19,14359.4501953125,862.2902221679688,2779.465576171875,668.8953857421875
2021-04-20,14296.400390625,862.0408325195312,2764.30126953125,658.9500122070312
2021-04-22,14406.150390625,864.42138671875,2741.66552734375,673.6786499023438
2021-04-23,14341.349609375,863.4918212890625,2733.489990234375,669.7241821289062
2021-04-26,14485.0,878.6818237304688,2725.84228515625,665.2962036132812
2021-04-27,14653.0498046875,901.716064453125,2753.26904296875,681.350830078125
2021-04-28,14864.5498046875,905.63818359375,2746.32421875,699.3944702148438
2021-04-29,14894.900390625,917.767578125,2738.544677734375,697.3580322265625
2021-04-30,14631.099609375,904.3687133789062,2668.5703125,668.84814453125
2021-05-03,14634.150390625,888.2944946289062,2669.756591796875,669.8663330078125
2021-05-04,14496.5,869.0463256835938,2680.96484375,657.505615234375
2021-05-05,14617.849609375,870.6333618164062,2721.358642578125,664.2542724609375
2021-05-06,14724.7998046875,875.5757446289062,2735.2041015625,663.44921875
2021-05-07,14823.150390625,875.9158325195312,2754.060546875,670.00830078125
2021-05-10,14942.349609375,873.3992919921875,2765.13671875,672.4237670898438
2021-05-11,14850.75,876.5505981445312,2745.005859375,664.7042846679688
2021-05-12,14696.5,867.48193359375,2714.23828125,662.7861938476562
2021-05-14,14677.7998046875,878.432373046875,2682.503173828125,656.7953491210938
2021-05-17,14923.150390625,888.884033203125,2698.546630859375,682.0848388671875
2021-05-18,15108.099609375,901.398681640625,2715.29345703125,699.34716796875
2021-05-19,15030.150390625,905.52490234375,2709.3154296875,690.585693359375
2021-05-20,14906.0498046875,900.2424926757812,2689.975341796875,678.5567016601562
2021-05-21,15175.2998046875,908.018798828125,2707.996337890625,709.10302734375
2021-05-24,15197.7001953125,900.355712890625,2708.875732421875,715.0939331054688
2021-05-25,15208.4501953125,890.1536254882812,2750.8359375,700.4126586914062
2021-05-26,15301.4501953125,893.2822265625,2790.146484375,699.5128784179688
2021-05-27,15337.849609375,896.0255737304688,2809.138916015625,702.1650390625
2021-05-28,15435.650390625,949.8478393554688,2776.98388671875,712.015625
2021-05-31,15582.7998046875,979.547607421875,2790.720458984375,717.8881225585938
2021-06-01,15574.849609375,983.447021484375,2785.2880859375,715.9227294921875
2021-06-02,15576.2001953125,998.1155395507812,2764.484619140625,712.276123046875
2021-06-03,15690.349609375,1001.9243774414062,2774.907958984375,720.1139526367188
2021-06-04,15670.25,993.2411499023438,2777.116455078125,710.8316650390625
2021-06-07,15751.650390625,1009.9727783203125,2811.9658203125,710.3106689453125
2021-06-08,15740.099609375,1004.1688842773438,2826.938232421875,702.3544921875
2021-06-09,15635.349609375,986.2129516601562,2827.02685546875,701.0521240234375
2021-06-10,15737.75,989.8405151367188,2841.647705078125,701.4072265625
2021-06-11,15799.349609375,1007.0098266601562,2891.999755859375,703.9171752929688
2021-06-14,15811.849609375,1021.45654296875,2894.25244140625,700.6494750976562
2021-06-15,15869.25,1023.777099609375,2882.23828125,705.7642211914062
2021-06-16,15767.5498046875,1006.3045043945312,2892.485595703125,703.0885009765625
2021-06-17,15691.400390625,1008.1473999023438,2930.82470703125,694.3270263671875
2021-06-18,15683.349609375,1012.6974487304688,2912.759521484375,700.8153076171875
2021-06-21,15746.5,1017.9756469726562,2891.381103515625,705.0300903320312
2021-06-22,15772.75,1012.7429809570312,2916.203857421875,702.7095947265625
2021-06-23,15686.9501953125,1003.4607543945312,2881.045654296875,703.5147705078125
2021-06-24,15790.4501953125,979.868408203125,2980.1611328125,713.3416748046875
2021-06-25,15860.349609375,957.550048828125,2986.52099609375,717.532958984375
2021-06-28,15814.7001953125,949.1550903320312,2947.6083984375,714.336181640625
2021-06-29,15748.4501953125,949.9740600585938,2951.22998046875,714.4312744140625
2021-06-30,15721.5,960.3711547851562,2955.558349609375,712.4574584960938
2021-07-01,15680.0,954.592529296875,2951.803955078125,707.154052734375
2021-07-02,15722.2001953125,968.7432861328125,2937.6259765625,704.1337890625
2021-07-05,15834.349609375,978.3668823242188,2933.695068359375,711.2921142578125
2021-07-06,15818.25,966.8095703125,2881.8408203125,729.9608764648438
2021-07-07,15879.650390625,960.0980834960938,2893.01611328125,732.2439575195312
2021-07-08,15727.900390625,952.1581420898438,2878.484130859375,723.1829833984375
2021-07-09,15689.7998046875,942.4209594726562,2834.005859375,714.4075927734375
2021-07-12,15692.599609375,948.2906494140625,2820.711181640625,707.27294921875
2021-07-13,15812.349609375,955.3887329101562,2815.808837890625,714.336181640625
2021-07-14,15853.9501953125,949.1550903320312,2839.659423828125,713.052001953125
2021-07-15,15924.2001953125,947.4943237304688,2835.587158203125,723.3019409179688
2021-07-16,15923.400390625,961.1674194335938,2828.37158203125,724.0867309570312
2021-07-19,15752.400390625,955.0474243164062,2819.342041015625,699.6627807617188
2021-07-20,15632.099609375,952.7041015625,2838.11083984375,686.416259765625
2021-07-22,15824.0498046875,964.9440307617188,2847.45068359375,689.0559692382812
2021-07-23,15856.0498046875,958.1187744140625,2844.35205078125,686.2260131835938
2021-07-26,15824.4501953125,944.9917602539062,2830.806396484375,682.3258056640625
2021-07-27,15746.4501953125,935.0496826171875,2817.880615234375,684.7991333007812
2021-07-28,15709.400390625,927.018798828125,2831.02783203125,674.12109375
2021-07-29,15778.4501953125,934.25341796875,2829.257080078125,674.5728149414062
2021-07-30,15763.0498046875,926.0860595703125,2804.158447265625,678.47314453125
2021-08-02,15885.150390625,943.012451171875,2850.150634765625,676.6657104492188
2021-08-03,16130.75,949.9513549804688,2908.137451171875,682.3971557617188
2021-08-04,16258.7998046875,957.2315673828125,2898.443603515625,696.95166015625
2021-08-05,16294.599609375,971.109375,2907.29638671875,706.2504272460938
2021-08-06,16238.2001953125,950.5429077148438,2930.181884765625,709.9602661132812
2021-08-09,16258.25,945.1282348632812,2941.602294921875,715.3112182617188
2021-08-10,16280.099609375,950.0877685546875,2951.51806640625,717.0949096679688
2021-08-11,16282.25,963.3969116210938,2960.63671875,711.0543212890625
2021-08-12,16364.400390625,960.3029174804688,2967.3203125,714.1221313476562
2021-08-13,16529.099609375,976.2965698242188,3066.164794921875,725.91796875
2021-08-16,16563.05078125,988.9686279296875,3074.61962890625,728.0107421875
2021-08-17,16614.599609375,984.7598266601562,3145.5322265625,720.4243774414062
2021-08-18,16568.849609375,988.5818481445312,3152.172119140625,719.6395263671875
2021-08-20,16450.5,977.4796142578125,3151.24267578125,720.4719848632812
2021-08-23,16496.44921875,983.895263671875,3220.2080078125,725.1569213867188
2021-08-24,16624.599609375,993.6098022460938,3198.783203125,741.447509765625
2021-08-25,16634.650390625,1002.20947265625,3239.331298828125,740.7578735351562
